minsup,fp_num,algorithm,time
0.005,183,fpg,0.15839934349060059
0.006,168,fpg,0.16884660720825195
0.007,157,fpg,0.17387306690216064
0.008,140,fpg,0.1693134307861328
0.009,131,fpg,0.15822553634643555
0.01,120,fpg,0.17382502555847168
0.02,70,fpg,0.1615149974822998
0.03,54,fpg,0.15823590755462646
0.04,36,fpg,0.13938117027282715
0.05,27,fpg,0.1504230499267578
0.06,22,fpg,0.14257299900054932
0.07,17,fpg,0.11132621765136719
0.08,15,fpg,0.11589646339416504
0.09,15,fpg,0.12376749515533447
0.1,13,fpg,0.10023891925811768
0.2,3,fpg,0.05794334411621094
0.3,2,fpg,0.05339789390563965
0.4,1,fpg,0.03905904293060303
0.5,0,fpg,0.026692986488342285
0.005,369,apr,12.638373494148254
0.006,297,apr,9.948048830032349
0.007,253,apr,9.009971141815186
0.008,228,apr,7.820240497589111
0.009,198,apr,6.334038615226746
0.01,174,apr,5.588042616844177
0.02,78,apr,2.332201838493347
0.03,55,apr,1.912620186805725
0.04,36,apr,1.068483829498291
0.05,27,apr,0.8018319606781006
0.06,22,apr,0.8020100593566895
0.07,17,apr,0.4856640100479126
0.08,15,apr,0.39332449436187744
0.09,15,apr,0.38226377964019775
0.1,13,apr,0.33539319038391113
0.2,3,apr,0.026666998863220215
0.3,2,apr,0.023451685905456543
0.4,1,apr,0.015628933906555176
0.5,0,apr,0.011083841323852539
