rule,confidence,support
milk-water-biscuits->pasta,1.0547945205479452,154
pasta-juices->milk,0.689922480620155,178
juices->milk,0.6123076923076923,398
milk-tomato souce->pasta,0.588021778584392,324
pasta-yoghurt->milk,0.5831485587583148,263
pasta-biscuits->milk,0.5802292263610315,405
pasta-water->milk,0.5781083953241233,544
pasta-tomato souce->milk,0.5634782608695652,324
pasta-beer->milk,0.5555555555555556,170
tomato souce->pasta,0.5539499036608864,575
pasta-coffee->milk,0.5524956970740104,321
milk-rice->pasta,0.5493421052631579,167
tomato souce->milk,0.5308285163776493,551
pasta-coke->milk,0.5213032581453634,208
yoghurt->milk,0.5197421434327155,645
biscuits->milk,0.5174102285092492,951
brioches->milk,0.5037650602409639,669
pasta-rice->milk,0.49850746268656715,167
pasta-tunny->milk,0.4956896551724138,230
milk-tunny->pasta,0.49356223175965663,230
coffee->milk,0.4897260273972603,715
rice->pasta,0.48833819241982507,335
oil->milk,0.4870967741935484,151
water->milk,0.4737642585551331,1246
frozen fish->milk,0.4696485623003195,147
crackers->milk,0.4680232558139535,161
milk-beer->pasta,0.4657534246575342,170
tunny->milk,0.4646061814556331,466
beer->milk,0.4631979695431472,365
tunny->pasta,0.4626121635094716,464
milk-coke->pasta,0.46017699115044247,208
frozen vegetables->milk,0.4556489262371615,488
pasta->milk,0.45496101102446895,1692
oil->pasta,0.45483870967741935,141
coke->milk,0.452,452
milk-coffee->pasta,0.4489510489510489,321
milk-juices->pasta,0.4472361809045226,178
rice->milk,0.44314868804664725,304
milk-water->pasta,0.43659711075441415,544
milk-pasta-tomato souce->water,0.43209876543209874,140
milk-biscuits->pasta,0.42586750788643535,405
frozen fish->pasta,0.4217252396166134,132
crackers->pasta,0.4127906976744186,142
frozen vegetables->pasta,0.41083099906629317,440
brioches->pasta,0.40963855421686746,544
water-tomato souce->milk-pasta,0.40816326530612246,140
milk-yoghurt->pasta,0.4077519379844961,263
coke->pasta,0.399,399
coffee->pasta,0.39794520547945206,581
juices->pasta,0.39692307692307693,258
milk-pasta-yoghurt->water,0.39543726235741444,104
beer->pasta,0.3883248730964467,306
milk-pasta-biscuits->water,0.3802469135802469,154
biscuits->pasta,0.3797606093579978,698
milk-pasta-coffee->water,0.3644859813084112,117
yoghurt->pasta,0.36341659951651895,451
water->pasta,0.3577946768060836,941
milk->pasta,0.3569620253164557,1692
beer->water,0.3401015228426396,268
coke->water,0.34,340
tomato souce->water,0.3304431599229287,343
water-yoghurt->milk-pasta,0.3280757097791798,104
milk-pasta->water,0.3215130023640662,544
water-biscuits->milk-pasta,0.31752577319587627,154
juices->water,0.31384615384615383,204
tomato souce->milk-pasta,0.31213872832369943,324
water-biscuits->milk,0.30103092783505153,146
brioches->biscuits,0.2868975903614458,381
milk-pasta-water->biscuits,0.28308823529411764,154
brioches->water,0.28237951807228917,375
coffee->water,0.2773972602739726,405
juices->milk-pasta,0.27384615384615385,178
biscuits->water,0.26387377584330796,485
juices->biscuits,0.2630769230769231,171
juices->brioches,0.2630769230769231,171
milk->water,0.26286919831223626,1246
milk-pasta-water->tomato souce,0.25735294117647056,140
yoghurt->water,0.25543916196615635,317
milk-tomato souce->water-pasta,0.2540834845735027,140
pasta->water,0.25302500672223716,941
frozen vegetables->water,0.24929971988795518,267
rice->water,0.2478134110787172,170
tunny->water,0.2452642073778664,246
pasta-tomato souce->milk-water,0.24347826086956523,140
rice->milk-pasta,0.2434402332361516,167
milk-pasta->biscuits,0.2393617021276596,405
coffee->biscuits,0.2363013698630137,345
pasta-yoghurt->milk-water,0.23059866962305986,104
tunny->milk-pasta,0.22931206380857427,230
brioches->milk-pasta,0.2289156626506024,304
juices->yoghurt,0.22615384615384615,147
rice->biscuits,0.2259475218658892,155
tunny->biscuits,0.22532402791625125,226
beer->coke,0.22081218274111675,174
pasta-biscuits->milk-water,0.22063037249283668,154
biscuits->milk-pasta,0.22034820457018497,405
coffee->milk-pasta,0.21986301369863015,321
frozen vegetables->milk-pasta,0.21942110177404295,235
beer->milk-pasta,0.21573604060913706,170
milk-pasta-water->coffee,0.21507352941176472,117
yoghurt->biscuits,0.21353746978243351,265
yoghurt->milk-pasta,0.2119258662369057,263
coke->milk-pasta,0.208,208
biscuits->brioches,0.20729053318824808,381
water->milk-pasta,0.20684410646387832,544
frozen vegetables->biscuits,0.20354808590102708,218
tomato souce->biscuits,0.2023121387283237,210
pasta-coffee->milk-water,0.20137693631669534,117
milk->biscuits,0.20063291139240505,951
